DetectionTimeStart_ShipLocal,DetectionTimeStart_UTC,DetectionTimeEnd_UTC,Latitude,Longitude
11/02/2017 12:36:57,11/02/2017 22:36:57,11/02/2017 22:37:10,23.91054,-174.0398067
11/02/2017 12:36:58,11/02/2017 22:36:58,11/02/2017 22:37:09,23.91042,-174.0392617
11/02/2017 12:37:48,11/02/2017 22:37:48,11/02/2017 22:37:59,23.90995167,-174.0371817
11/02/2017 12:37:59,11/02/2017 22:37:59,11/02/2017 22:38:12,23.90984667,-174.0366933
11/02/2017 12:38:26,11/02/2017 22:38:26,11/02/2017 22:38:52,23.90951833,-174.035365
11/02/2017 12:38:26,11/02/2017 22:38:26,11/02/2017 22:38:41,23.90951833,-174.035365
11/02/2017 12:38:42,11/02/2017 22:38:42,11/02/2017 22:38:59,23.90941167,-174.0349483
11/02/2017 12:38:54,11/02/2017 22:38:54,11/02/2017 22:39:07,23.90924833,-174.0341917
11/02/2017 12:39:00,11/02/2017 22:39:00,11/02/2017 22:39:24,23.90924833,-174.0341917
11/02/2017 12:39:09,11/02/2017 22:39:09,11/02/2017 22:39:31,23.90915,-174.0338267
11/02/2017 12:39:35,11/02/2017 22:39:35,11/02/2017 22:39:53,23.90900167,-174.0331567
11/02/2017 12:39:55,11/02/2017 22:39:55,11/02/2017 22:40:21,23.90885833,-174.0324933
11/02/2017 12:40:33,11/02/2017 22:40:33,11/02/2017 22:40:56,23.90859333,-174.0312617
11/02/2017 12:41:11,11/02/2017 22:41:11,11/02/2017 22:41:27,23.90841167,-174.0304
11/02/2017 12:41:47,11/02/2017 22:41:47,11/02/2017 22:42:07,23.908145,-174.0292417
11/02/2017 12:42:20,11/02/2017 22:42:20,11/02/2017 22:42:40,23.90797167,-174.0282917
11/02/2017 12:42:53,11/02/2017 22:42:53,11/02/2017 22:43:04,23.907745,-174.0272383
11/02/2017 12:43:06,11/02/2017 22:43:06,11/02/2017 22:43:22,23.907665,-174.0268567
11/02/2017 12:43:21,11/02/2017 22:43:21,11/02/2017 22:43:47,23.9075,-174.026095
11/02/2017 12:43:52,11/02/2017 22:43:52,11/02/2017 22:44:04,23.90724667,-174.0248967
11/02/2017 12:43:54,11/02/2017 22:43:54,11/02/2017 22:44:17,23.90724667,-174.0248967
11/02/2017 12:44:30,11/02/2017 22:44:30,11/02/2017 22:44:53,23.906985,-174.02365
11/02/2017 12:44:50,11/02/2017 22:44:50,11/02/2017 22:45:03,23.9068,-174.0228
11/02/2017 12:45:06,11/02/2017 22:45:06,11/02/2017 22:45:24,23.90660167,-174.0219417
